"name","lat","lon","points_extract"
"aspera",-6.055124,-50.173616,667
"aspera",4.2,-51.65,24
"aspera",5.33,-55.5,39
"aspera",4.81,-67.43,109
"aspera",-13.08333,-67.25,165
"aspera",14.03333,-83.4,6
"aspera",14.03333,-83.38333,6
"aspera",5.016667,-61.133333,862
"aspera",5.02,-61.13,862
"aspera",4.36,-61.75,570
"aspera",-8,-63,69
"aspera",-0.133333,-63,54
"aspera",-7.7997,-63.1692,66
"aspera",-5,-63,47
"aspera",4.31666,-61.73333,497
"aspera",13.55,-84.3,62
"aspera",7.35,-62.71,274
"aspera",7.35,-62.72,274
"aspera",13.50138,-84.25277,36
"aspera",4.65,-60.95,1085
"aspera",13.55,-84.28333,41
"aspera",13.53333,-84.23333,27
"aspera",14.01666,-83.4,6
"aspera",7.46666,-63.23333,389
"aspera",11.983333,-83.766667,10
"aspera",-2.44666616415804,-54.7089799919966,33
"aspera",-1.583333,-55.53,113
"aspera",-0.98333,-54.98333,321
"aspera",-0.220997,-55.16572,434
"aspera",5.916667,-57.9,28
"aspera",-7.516667,-63.17,71
"aspera",-7.516667,-63.166667,71
"aspera",-1.05,-48.12,34
"aspera",-1.05,-48.116667,34
"aspera",5.36666,-67.55,181
"aspera",5.37,-67.55,181
"aspera",-2.17505641973007,-56.7457052359991,6
"aspera",5.61,-66.13,172
"aspera",13.53333,-84.5,55
"aspera",14.71666,-84.1,45
"aspera",14.5,-83.833333,66
"aspera",14.11555,-87.19472,1031
"aspera",13.883333,-86.933333,1301
"aspera",3.47,-59.68,100
"aspera",14.45333,-86.66888,958
"aspera",3.466667,-59.683333,100
"aspera",5.31,-66.28,535
"aspera",3.466667,-59.683333,100
"aspera",3.47,-59.68,100
"aspera",0.7772,-51.9517,95
"aspera",-0.369966872567232,-51.0670524556655,20
"aspera",5.32,-66.28,535
"aspera",3.46667,-59.68333,100
"aspera",5.8,-67.333333,120
"aspera",4.78,-52.35,17
"aspera",14.683333,-84.05,69
"aspera",14.683333,-83.5,44
"aspera",14.091667,-83.333333,3
"aspera",5.85,-67.41666,90
"aspera",14.1,-83.583333,8
"aspera",4.05,-66.81,103
"aspera",4.05,-66.82,103
"aspera",4.05,-66.82,103
"aspera",14.05,-83.4,19
"aspera",14.39166,-83.69166,53
"aspera",-2.23446332059816,-45.2999885675045,7
"aspera",14.166667,-83.5,15
"aspera",5.8,-67.33,120
"aspera",4.33,-61.8,498
"aspera",3.75,-67.066667,103
"aspera",-1.66664444855463,-45.3719930444323,9
"aspera",-1.15526681981842,-48.1298676975265,23
"aspera",-0.861649885008358,-48.1421684328451,11
"aspera",4.96,-52.46,12
"aspera",3.08205,-60.346275,105
"aspera",9.13333,-62.83333,19
"aspera",4.4881,-61.1489,898
"aspera",9.13333,-62.83333,19
"aspera",-7.516667,-63.166667,71
"aspera",-7.516667,-63.166667,71
"aspera",0.706497,-51.444125,87
"aspera",15.88333,-84.7,1
"aspera",15.88,-84.7,1
"aspera",5.35,-67.666667,111
"aspera",8.581299,-75.182994,24
"aspera",-7.5,-57.25,335
"aspera",9.266667,-62.933333,29
"aspera",9.170278,-79.420278,472
"aspera",8.81666,-62.45,24
"aspera",8.82,-62.45,24
"aspera",8.816667,-62.45,24
"aspera",9.12055,-79.04611,10
"aspera",11.995,-83.68888,5
"aspera",14.03333,-83.38333,6
"aspera",4.517778,-69.58,121
"aspera",4.574,-71.03,178
"aspera",4.562832,-70.998972,180
"aspera",13,-84.5,96
"aspera",14.58333,-84.01666,113
"aspera",14.46666,-84.10833,87
"aspera",14.75,-83.416667,20
"aspera",14.08333,-83.41666,19
"aspera",-12,-54,345
"aspera",14.03333,-83.38333,6
"aspera",14.71666,-83.78333,61
"aspera",14.75,-83.883333,59
"aspera",14.75,-83.88333,59
"aspera",14.75,-83.883333,59
"aspera",15.722778,-84.544167,9
"aspera",5.150162,-69.166722,121
"aspera",-7.2808,-64.7678,73
"aspera",5.335746,-67.865944,73
"aspera",14.733333,-83.966667,47
"aspera",14.73333,-83.96666,47
"aspera",5.53,-54.8,18
"aspera",14.73333,-83.88333,59
"aspera",14.75,-83.88333,59
"aspera",4.76,-52.31,19
