"name","lat","lon","identifiedBy","splink_ident_extract"
"papyrus",-14.000618,-50.000564,"Carol A. Todzia",308
"papyrus",-16.0611,-50.00122,"J. J. Wurdack",765
"verticillaris",-16.065858,-50.178486,"Meyer, FS",777
"verticillaris",-16.035709,-50.104255,"Meyer, F.S.",724
"verticillaris",-9.69,-52.606,"Meyer, F. S.",270
"verticillaris",-8.807778,-49.082778,"Meyer, FS",226
"verticillaris",-10.916944,-49.630556,"P. Guimar„es",184
"verticillaris",-15.030833,-56.362222,"J.G.Freitas & P.Guimar„es",259
"verticillaris",-14.396,-46.572917,"Freitas, AL",530
"verticillaris",-13.81667,-48.43333,"P. J. F. Guimar„es",501
"verticillaris",-13.5425,-48.000556,"P. Guimar„es",403
"verticillaris",-13.417222,-47.080278,"Freitas, AL",398
"verticillaris",-15.8106,-54.9178,"Guimar„es, PJF",320
"verticillaris",-7.583333,-46.833333,"Meyer, F.S.",269
"verticillaris",-7.583333,-46.083333,"Meyer, FS",264
"verticillaris",-11.698,-51.428,"Meyer, F. S.",255
"verticillaris",-11.575,-50.977,"Meyer, F. S.",195
"verticillaris",-11.3431,-50.5837,"Meyer, F.S.",189
"verticillaris",-12.85,-49.1,"Guimar„es, PJF",298
"verticillaris",-13.586111,-48.3125,"P. J. F. Guimar„es",500
"verticillaris",-10.253611,-48.095833,"Guimar„es, P",632
"verticillaris",-17.366667,-52.166667,"Guimar„es, P",820
"verticillaris",-13.466666,-48.383333,"P. J. F. Guimar„es",453
"verticillaris",-16,-50.133333,"Guimar„es, PJF",551
"verticillaris",-3.416667,-48.62,"Todzia, C.A.",108
"verticillaris",-14.568,-49.51,"Carol A. Todzia",405
"verticillaris",-8.5006,-48.6008,"C. A. Todzia",460
"verticillaris",-15.916667,-50.15,"Wurdack, J.J.",514
"verticillaris",-6.816667,-47.82,"Todzia, C.A.",387
"verticillaris",-15.92,-50.15,"Wurdack, J.J.",514
"verticillaris",-15.916667,-50.15,"Guimar„es, PJF",514
"verticillaris",-6.82,-47.82,"C. A. Todzia",387
"verticillaris",-15.92,-50.15,"J. J. Wurdack",514
"verticillaris",-13.65,-48.416667,"ANA LUIZA FREITAS",574
"verticillaris",-14.733333,-52.333333,"Guimar„es, PJF",299
"verticillaris",-17.716667,-48.366667,"C. A. Todzia",784
"verticillaris",-14.116667,-47.516667,"Freitas, AL",1319
"verticillaris",-13.273667550479,-47.2204212748853,"J. J. Wurdack",784
"verticillaris",-13.4736720780612,-47.2304222730263,"J. J. Wurdack",489
"verticillaris",-13.4536716251006,-47.2304222379731,"C. A. Todzia",461
"verticillaris",-18.03476,-43.3833,"J. J. Wurdack",820
"verticillaris",-14.54942,-48.45,"C. A. Todzia",719
"verticillaris",-15.85,-48.75395,"C. A. Todzia",1051
"verticillaris",-17.84727,-47.61584,"C. A. Todzia",805
"verticillaris",-12.9,-51.87,"Wurdack, J.J.",365
"verticillaris",-12.9,-51.866667,"Guimar„es, PJF",365
"verticillaris",-10.166667,-48.883333,"Meyer, FS",364
